Название;Сслыка;Цена;Место;Время с момента публикации
Угловой диван;https://www.avito.ru//lipetsk/mebel_i_interer/uglovoy_divan_828517984;26 600;р-н Правобережный;6 часов назад
Диван угловой;https://www.avito.ru//lipetsk/mebel_i_interer/divan_uglovoy_1961028134;30 200;р-н Правобережный;1 день назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_943410239;11 300;р-н Октябрьский;1 день назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1961263699;48 900;р-н Октябрьский;5 дней назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1109770317;5 900;р-н Правобережный;1 час назад
"Диван евро-книжка ""Лига""";https://www.avito.ru//lipetsk/mebel_i_interer/divan_evro-knizhka_liga_1981401647;14 500;;1 час назад
"Диван ""Вегас"" (новинка)";https://www.avito.ru//lipetsk/mebel_i_interer/divan_vegas_novinka_1973301731;36 000;р-н Советский;1 час назад
"Диван евро-книжка ""Лига""";https://www.avito.ru//lipetsk/mebel_i_interer/divan_evro-knizhka_liga_1981110052;15 500;р-н Правобережный;1 час назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1966992558;2 000;р-н Октябрьский;2 часа назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1413472110;15 500;р-н Советский;1 час назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1063648735;8 300;р-н Советский;1 час назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1897197237;22 700;р-н Октябрьский;2 часа назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_841551765;7 900;р-н Правобережный;2 часа назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1965395288;10 000;р-н Правобережный;3 часа назад
Диван угловой с доставкой;https://www.avito.ru//lipetsk/mebel_i_interer/divan_uglovoy_s_dostavkoy_1965191094;15 000;р-н Левобережный;5 часов назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1933520817;1 500;р-н Октябрьский;3 часа назад
Диван новый;https://www.avito.ru//lipetsk/mebel_i_interer/divan_novyy_1981152550;22 850;р-н Советский;6 часов назад
"Диван ""Уют"" + 2 кресла";https://www.avito.ru//lipetsk/mebel_i_interer/divan_uyut_2_kresla_1981837421;14 300;р-н Октябрьский;3 часа назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1974186335;2 000;р-н Советский;7 часов назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1035422839;17 500;р-н Правобережный;3 часа назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1865756613;16 950;р-н Правобережный;3 часа назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1438362197;8 900;р-н Советский;7 часов назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1023424006;7 200;р-н Советский;3 часа назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1961378417;21 190;р-н Октябрьский;4 часа назад
Диван угловой;https://www.avito.ru//lipetsk/mebel_i_interer/divan_uglovoy_1801673091;34 900;р-н Правобережный;4 часа назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1365893522;9 100;р-н Советский;3 часа назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1779250299;15 000;р-н Октябрьский;6 часов назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1065627064;8 300;р-н Советский;3 часа назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1963838733;15 300;р-н Правобережный;5 часов назад
