Название;Сслыка;Цена;Место;Время с момента публикации
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1854026592;12 900;р-н Советский;22 часа назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1071498399;5 700;р-н Советский;3 дня назад
Угловой диван;https://www.avito.ru//lipetsk/mebel_i_interer/uglovoy_divan_1016934013;16 500;р-н Советский;6 дней назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_943410239;11 300;р-н Октябрьский;5 дней назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1971864667;2 500;р-н Правобережный;56 минут назад
Диван из экокожи;https://www.avito.ru//lipetsk/mebel_i_interer/divan_iz_ekokozhi_1981737758;10 000;р-н Советский;58 минут назад
Диван новый;https://www.avito.ru//lipetsk/mebel_i_interer/divan_novyy_1956350672;4 990;р-н Советский;1 час назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1981067304;Беспла;р-н Октябрьский;3 часа назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1775433223;18 000;р-н Правобережный;2 часа назад
"Угловой диван""Арго 2"" Новинка";https://www.avito.ru//lipetsk/mebel_i_interer/uglovoy_divanargo_2_novinka_1973305233;60 000;р-н Советский;2 часа назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1963491824;2 000;р-н Октябрьский;3 часа назад
Диван угловой;https://www.avito.ru//lipetsk/mebel_i_interer/divan_uglovoy_1930804771;38 000;р-н Правобережный;2 часа назад
"Диван угловой с ортопедическим эффектом ""Велес 2""";https://www.avito.ru//lipetsk/mebel_i_interer/divan_uglovoy_s_ortopedicheskim_effektom_veles_2_1593301502;43 000;р-н Советский;3 часа назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1926301045;7 000;р-н Октябрьский;5 часов назад
Диван-тахта;https://www.avito.ru//lipetsk/mebel_i_interer/divan-tahta_1148845747;9 300;р-н Правобережный;4 часа назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_939466417;14 500;р-н Советский;4 часа назад
Диван угловой;https://www.avito.ru//lipetsk/mebel_i_interer/divan_uglovoy_1398889975;16 500;р-н Правобережный;6 часов назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1977173081;3 500;р-н Октябрьский;9 часов назад
